"image_link","surrounding_text","href"
"https://a57.foxnews.com/prod-hp.foxnews.com/images/2025/03/229/129/d91126b2c95d4c81b64698e8825b5557.jpg?tl=1&ve=1","Watch new episodes of ‘Martin Scorsese Presents: The Saints’ exclusively on FOX Nation - Fox News 56˚ FOX NATION
Watch new episodes of ‘Martin Scorsese Presents: The Saints’ exclusively on FOX Nation FOX NATION
Watch new episodes of ‘Martin Scorsese Presents: The Saints’ exclusively on FOX Nation","https://fxn.ws/3FOVsu0"
"https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2025/04/229/129/commerce-microsoft-software-istock-1498827641.png?tl=1&ve=1","Upgrade to Microsoft 11 for just $10 and save up to 94% on other software deals - Fox News 56˚ COMMERCE
Upgrade to Microsoft 11 for just $10 and save up to 94% on other software deals COMMERCE
Upgrade to Microsoft 11 for just $10 and save up to 94% on other software deals","https://www.foxnews.com/deals/microsoft-software-discount-stacksocial"
"https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2025/04/229/129/commerce-sephora-beauty-sale-istock-1658893205.png?tl=1&ve=1","The Sephora Savings Event is your chance to save up to 30% on must-have products - Fox News 56˚ DEALS
The Sephora Savings Event is your chance to save up to 30% on must-have products DEALS
The Sephora Savings Event is your chance to save up to 30% on must-have products","https://www.foxnews.com/deals/sephora-savings-event"
"https://a57.foxnews.com/prod-hp.foxnews.com/images/2025/04/343/193/5aecad9484fec66cddff69d3d58a931f.jpg?tl=1&ve=1","Dem mocked for how she tries to hide at the White House: 'This is what my 2 year old does - Fox News 56˚ Dem mocked for how she tries to hide at the White House: 'This is what my 2 year old does
4 min read","https://www.foxnews.com/politics/gretchen-whitmer-ribbed-online-seeming-hide-face-oval-office"
"https://a57.foxnews.com/prod-hp.foxnews.com/images/2025/04/343/193/a5d62fce169f0b9baab27d8521be96dd.jpg?tl=1&ve=1","Daughter of German-American dissident mutilated by Iran calls on Trump to nix nuke talks - Fox News 56˚ Daughter of German-American dissident mutilated by Iran calls on Trump to nix nuke talks
5 min read","https://www.foxnews.com/world/daughter-german-american-dissident-whose-body-mutilated-iran-calls-trump-nix-nuke-talks"
"https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2025/04/343/193/aimee-lou-wood.jpg?tl=1&ve=1","'White Lotus' star tears into 'SNL' over 'mean' parody mocking her - Fox News 56˚ ENTERTAINMENT ENTERTAINMENT","https://www.foxnews.com/entertainment/white-lotus-star-slams-snl-over-mean-parody"
"https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2024/10/343/193/trump-dance.png?tl=1&ve=1","White House releases results of Trump's physical exam, noting scar from bullet wound - Fox News 56˚ White House releases results of Trump's physical exam, noting scar from bullet wound
2 min read","https://www.foxnews.com/politics/results-president-trumps-physical-released-what-they-say"
"https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2025/04/343/193/jeanmarshthumb.jpg?tl=1&ve=1","‘Willow’ star and ‘Upstairs, Downstairs’ co-creator Jean Marsh dead at 90 - Fox News 56˚ ‘Willow’ star and ‘Upstairs, Downstairs’ co-creator Jean Marsh dead at 90
4 min read","https://www.foxnews.com/entertainment/willow-star-upstairs-downstairs-co-creator-jean-marsh-dead-90"
"https://a57.foxnews.com/prod-hp.foxnews.com/images/2025/04/343/193/f97e4c71f5650b2c102c853ea77c2843.jpg?tl=1&ve=1","Scorsese tells gripping tale of gang leader who became Christian icon - Fox News 56˚ Scorsese tells gripping tale of gang leader who became Christian icon
3 min read","https://www.foxnews.com/media/martin-scorsese-story-st-moses-black-bloodthirsty-bandit-icon-mercy"
"https://a57.foxnews.com/prod-hp.foxnews.com/images/2025/02/343/193/b937dd6523a0b6a5e2f0e400f6c263e5.png?tl=1&ve=1&tl=1&ve=1","Crosswords, Word Search, Crazy Crystals, Stack & Match and 5 Across! - Fox News 56˚ PLAY NOW! Crosswords, Word Search, Crazy Crystals, Stack & Match and 5 Across!","https://www.foxnews.com/games"
"https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2025/04/343/193/mike-trout.jpg?tl=1&ve=1","Astros fan rips foul ball out of Angels star Mike Trout's glove in bizarre scene - Fox News 56˚ SPORTS SPORTS","https://www.foxnews.com/sports/astros-fan-rips-foul-ball-out-angels-star-mike-trouts-glove-bizarre-scene"
"https://a57.foxnews.com/prod-hp.foxnews.com/images/2025/04/343/193/7dbd7ed5aa385ca1fcb18206c5e4c422.jpg?tl=1&ve=1","Fans slam raging anti-Trump punk band for starting a fire as city still recovers from disaster - Fox News 56˚ Fans slam raging anti-Trump punk band for starting a fire as city still recovers from disaster
3 min read","https://www.foxnews.com/entertainment/green-days-coachella-set-sparks-fire-festival-concertgoers-express-outrage-over-pyrotechnics-use"
"https://a57.foxnews.com/static.foxbusiness.com/foxbusiness.com/content/uploads/2025/04/343/193/computer_amazon.png?tl=1&ve=1","Online retail giant under fire for allegedly skirting blue state law involving minors - Fox News 56˚ Online retail giant under fire for allegedly skirting blue state law involving minors
5 min read","https://www.foxbusiness.com/politics/new-study-accuses-amazon-skirting-state-law-allowing-minors-purchase-these-dangerous-items"
"https://a57.foxnews.com/prod-hp.foxnews.com/images/2025/04/343/193/595ea0bca0739fd3f91205fbec042699.jpg?tl=1&ve=1","Brooke Shields and Elizabeth Hurley sizzle in bikinis at 59 years old - Fox News 56˚ ENTERTAINMENT ENTERTAINMENT","https://www.foxnews.com/entertainment/elizabeth-hurley-brooke-shields-prove-the-bikini-couldnt-care-less-about-your-birth-certificate-expert"
"https://a57.foxnews.com/prod-hp.foxnews.com/images/2025/04/343/193/bf575602b9fcc26711859340e05730bd.jpg?tl=1&ve=1","Trump admin reportedly secures release of American missionary held in Tunisia - Fox News 56˚ Trump admin reportedly secures release of American missionary held in Tunisia
2 min read","https://www.foxnews.com/world/trump-admin-secures-release-american-missionary-held-tunisia-13-months-report"
"https://a57.foxnews.com/prod-hp.foxnews.com/images/2025/01/343/193/ed7bf1ade313d9032fd8352f2c497dc0.jpg?tl=1&ve=1","President Trump’s historic return to the White House - Fox News 56˚ THE FIRST 100 DAYS: President Trump’s historic return to the White House","https://foxnews.com/trumptransition"
"https://a57.foxnews.com/prod-hp.foxnews.com/images/2025/04/343/193/344882db1302842d3004ea2edb5d25a5.jpg?tl=1&ve=1","Political cartoons of the day - Fox News 56˚ Political cartoons of the day","https://www.foxnews.com/politics/politics-cartoons-slideshow"
"https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2025/04/343/193/istock-1320291039.jpg?tl=1&ve=1","Beautify your yard with these products from the Home Depot and Lowe's Spring sales - Fox News 56˚ Beautify your yard with these products from the Home Depot and Lowe's Spring sales
5 min read","https://www.foxnews.com/deals/yard-products-home-depot-lowes-spring-sales"
"https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2025/03/343/193/uk-ancient-king-arthur-merlin-manuscript-1.png?tl=1&ve=1","Forgotten pages hint at King Arthur twist — and they were hiding in plain sight - Fox News 56˚ TRAVEL TRAVEL","https://www.foxnews.com/travel/experts-shocked-ancient-king-arthur-manuscript-found-tucked-book-survived-centuries"
"https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2025/04/343/193/quiz4133.jpg?tl=1&ve=1","Test yourself on screen stars, garden greatness and our Founding Fathers - Fox News 56˚ Test yourself on screen stars, garden greatness and our Founding Fathers","https://www.foxnews.com/lifestyle/american-culture-quiz-test-yourself-screen-stars-garden-greatness-founding-fathers"
"https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2025/03/343/193/sunglasses-istock-915166076.jpg?tl=1&ve=1","Get ready for warmer weather with these sunglasses - Fox News 56˚ Get ready for warmer weather with these sunglasses
6 min read","https://www.foxnews.com/deals/budget-friendly-gifts-easter-baskets"
"https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2025/04/343/193/trump-pointing-and-answring-question.png?tl=1&ve=1","Trump vows nobody getting 'off the hook' for 'unfair' trade balances, tariff barriers - Fox News 56˚ Trump vows nobody getting 'off the hook' for 'unfair' trade balances, tariff barriers
4 min read","https://www.foxnews.com/politics/trump-vows-nobody-getting-off-hook-unfair-trade-balances-says-no-tariff-exception"
"https://a57.foxnews.com/prod-hp.foxnews.com/images/2025/04/343/193/9d0270eb0b71477b6ba06b560050874b.jpg?tl=1&ve=1","Jeff Bezos' fiancée unveils spacesuits for women-only flight that she designed herself - Fox News 56˚ Jeff Bezos' fiancée unveils spacesuits for women-only flight that she designed herself
4 min read","https://www.foxnews.com/entertainment/katy-perry-lauren-sanchez-show-off-blue-origin-flight-suits-bring-spice-space"
"https://a57.foxnews.com/prod-hp.foxnews.com/images/2025/04/343/193/e6f444f84a7fcd0d63cc2795dfe8dbca.jpg?tl=1&ve=1","Dave Portnoy waves Israel flag as Holocaust-denier gets choked out at UFC 314 - Fox News 56˚ SPORTS SPORTS","https://www.foxnews.com/sports/dave-portnoy-waves-israel-flag-celebration-after-holocaust-denier-bryce-mitchell-gets-choked-out-ufc-314"
"https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2025/04/343/193/alien-ufo-cia_04.jpg?tl=1&ve=1","Declassified document fuels growing speculation of extraterrestrials among us - Fox News 56˚ Declassified document fuels growing speculation of extraterrestrials among us
5 min read","https://www.foxnews.com/us/viral-cia-file-about-aliens-attacking-soldiers-takes-off-ufo-intrigue"
